Demographics.Total,Education.Major,Salaries.Mean,Salaries.Median,Demographics.Ethnicity.Asians,Demographics.Ethnicity.Minorities,Demographics.Ethnicity.Whites,Demographics.Gender.Females,Demographics.Gender.Males,Education.Degrees.Bachelors,Education.Degrees.Doctorates,Education.Degrees.Masters
13950,History of Science,71000,45000,248,706,12996,9230,4720,9310,709,1989
127881,Nutritional Science,75814.32,50000,16414,14098,97369,113115,14765,76790,2419,42492
337852,Anthropology and Archeology,64775.19,50000,9211,56432,272209,211682,126169,178872,16848,113136
1176525,Sociology,58871.7,50000,59244,305810,811471,801803,374722,747039,28534,356024
3355678,Psychology,63618.92,51000,183140,674394,2498144,2356928,998750,1907867,165276,1107422
180284,Animal Sciences,72244.94,52000,7817,22839,149627,71455,108829,113234,7080,30822
130495,Criminology,66874.44,52000,11527,44614,74354,57211,73283,91943,1232,30063
243331,Area and Ethnic Studies,61430.39,52230,16510,59043,167778,180235,63096,124949,11958,85809
15456,"Pharmacology, Human and Animal",67193.25,54000,3971,5354,6132,9615,5841,5260,2496,1117
186029,Environmental Science Studies,65118.25,55000,4479,31566,149984,93490,92539,129343,1952,44925
91123,Linguistics,58259.13,55000,16178,15478,59467,69947,21176,49743,5941,23269
194384,Geography,65739.72,56750,5773,19355,169256,64050,130334,139362,6141,45929
59944,Earth Sciences,64951.72,59000,573,3594,55777,25890,34054,42108,1755,14267
169991,"Zoology, General",86957.98,60000,17563,12856,139571,72648,97343,58806,26546,39510
71692,OTHER Agricultural Sciences,74556.17,60000,2872,3688,65132,12886,58806,55729,4528,8209
111708,Plant Sciences,66107.83,60000,7918,8843,94947,46404,65304,84530,7558,19070
66863,Forestry Services,64476.48,60000,1873,3440,61549,10032,56831,49614,2871,13719
2627847,Biological Sciences,80039.13,61039,310812,473948,1843087,1386863,1240984,1282386,191373,577169
29224,Botany,80213.32,61500,10319,2553,16351,17066,12158,10533,5477,10266
52003,Public Policy Studies,88088.89,63000,1629,8130,42244,23968,28035,31663,700,15812
290901,International Relations,86490.94,64000,33932,42806,214163,176629,114271,166117,7362,83685
37160,OTHER Physical and Related Sciences,73106,65000,5426,4928,26806,18345,18815,18676,1269,17192
45369,Food Sciences and Technology,72095.38,65000,3544,8223,33602,27857,17513,31391,3501,9784
1558789,Political Science and Government,92069.04,66000,53478,298598,1206713,688450,870339,751581,48578,374069
17520,Philosophy of Science,91710.95,67500,487,4944,12088,10408,7112,10890,1109,3166
236030,Biochemistry and Biophysics,85664.13,67500,54992,25656,155382,118589,117441,122271,30566,39512
23735,"Genetics, Animal and Plant",78241.22,68225,3987,3679,16069,10546,13189,10767,5103,4344
63508,"Physiology, Human and Animal",91750.58,69000,13280,8240,41988,29781,33727,32075,3154,17438
71729,Agricultural Economics,89197.42,70000,1742,5383,64604,17242,54487,59784,601,10473
727024,Chemistry,86034.51,72000,130992,87002,509029,297806,429218,329978,131749,183668
30906,Atmospheric Sciences and Meteorology,74487.92,72000,1543,3373,25989,10102,20803,18640,2249,10017
18570,OTHER Geological Sciences,81852.52,72500,1327,684,16558,7211,11358,11862,1171,5537
8535,Oceanography,76034.32,77250,1,759,7775,1669,6866,2031,530,5974
154753,Geology,92384.25,79145,5365,10862,138526,49578,105176,88448,11105,52793
344713,Information Services and Systems,86816.51,80000,33979,87730,223005,117403,227310,260865,3140,78348
586588,Civil Engineering,90136.51,81000,99999,79812,406777,97868,488720,365149,15518,201251
1302458,Economics,109940.97,82000,166195,195133,941130,403424,899034,814467,46428,342691
317500,Physics and Astronomy,93267.1,82000,80303,29726,207471,56810,260690,112043,88828,108028
2489621,Computer Science and Math,89471.56,82000,469649,367230,1652742,827259,1662362,1576231,98129,750436
55738,Statistics,99210.87,88000,16211,5723,33805,36335,19403,32158,3741,18734
18305,Operations Research,117084.88,88500,1551,219,16535,5011,13294,11153,216,6812
1306845,Other Engineering,96287.14,90000,235954,228427,842463,266635,1040210,829617,57176,395077
950566,Mechanical Engineering,98533.83,90646,184209,117901,648456,96727,853839,602805,33830,304721
1154661,Electrical Engineering,109173.61,100000,375520,155870,623271,149404,1005257,689301,61489,392548
327140,Chemical Engineering,107650.53,100000,57822,48279,221039,78963,248177,189323,30795,96429
